mmsi,latitude,longitude,header_sec,header_nanosec,bag_name
203245328,43.41493833333333,16.152111666666666,1749302627,559403393,blue_lagoon_imu
238134010,43.401165,16.18894,1749302628,390386771,blue_lagoon_imu
238134010,43.400866666666666,16.188958333333332,1749302634,277372653,blue_lagoon_imu
203247262,43.414685,16.157571666666666,1749302635,317226673,blue_lagoon_imu
538072144,43.366778333333336,16.183586666666667,1749302635,988884322,blue_lagoon_imu
238066340,43.475318333333334,16.21186,1749302636,996824459,blue_lagoon_imu
238134010,43.400623333333336,16.18897,1749302639,716275285,blue_lagoon_imu
232016168,43.41023333333333,16.130106666666666,1749302640,916131140,blue_lagoon_imu
238134010,43.400326666666665,16.188983333333333,1749302645,683268469,blue_lagoon_imu
538072144,43.36737333333333,16.183716666666665,1749302646,626991853,blue_lagoon_imu
238134010,43.39997833333334,16.189011666666666,1749302652,417651276,blue_lagoon_imu
538072144,43.367961666666666,16.18384,1749302655,665070929,blue_lagoon_imu
203245328,43.41469166666667,16.15299,1749302656,65433056,blue_lagoon_imu
232016168,43.409823333333335,16.131063333333334,1749302671,945578886,blue_lagoon_imu
203245328,43.414425,16.154005,1749302687,558937116,blue_lagoon_imu
238134010,43.39819833333333,16.189008333333334,1749302688,390110113,blue_lagoon_imu
238134010,43.39790333333333,16.18898,1749302694,277093968,blue_lagoon_imu
203247262,43.41419166666667,16.159828333333333,1749302695,317025810,blue_lagoon_imu
538072144,43.37023666666666,16.18421,1749302695,557396976,blue_lagoon_imu
238134010,43.39765833333333,16.188943333333334,1749302699,715957171,blue_lagoon_imu
232016168,43.409385,16.132068333333333,1749302704,914915498,blue_lagoon_imu
538072144,43.37087,16.184298333333334,1749302706,626779448,blue_lagoon_imu
229000563,43.43456666666667,16.149165,1749302710,450112299,blue_lagoon_imu
238134010,43.397018333333335,16.188826666666667,1749302712,417521632,blue_lagoon_imu
538072144,43.371446666666664,16.184378333333335,1749302715,664755836,blue_lagoon_imu
203245328,43.41419833333333,16.154893333333334,1749302716,64545637,blue_lagoon_imu
538072144,43.37253166666667,16.18454,1749302735,261278774,blue_lagoon_imu
238066340,43.473056666666665,16.215655,1749302738,220253785,blue_lagoon_imu
238850640,43.457145,16.197913333333332,1749302738,460061179,blue_lagoon_imu
238134010,43.39561666666667,16.188391666666668,1749302741,723312275,blue_lagoon_imu
238134010,43.39542333333333,16.18831,1749302745,210559708,blue_lagoon_imu
538072144,43.37309833333333,16.184646666666666,1749302745,338289152,blue_lagoon_imu
238322040,43.51459833333333,16.23166833333333,1749302746,170231981,blue_lagoon_imu
203245328,43.41393333333333,16.155906666666667,1749302747,562076420,blue_lagoon_imu
238134010,43.39528333333333,16.188246666666668,1749302748,377900775,blue_lagoon_imu
238066340,43.47280333333333,16.216063333333334,1749302748,858481001,blue_lagoon_imu
238396340,43.51502333333333,16.231076666666667,1749302751,1275635,blue_lagoon_imu
238134010,43.394998333333334,16.188126666666665,1749302754,681077401,blue_lagoon_imu
203247262,43.413693333333335,16.162116666666666,1749302755,321150095,blue_lagoon_imu
538072144,43.37366333333333,16.184765,1749302755,561066340,blue_lagoon_imu
238858440,43.46557166666667,16.227345,1749302755,736439674,blue_lagoon_imu
238134010,43.39490166666667,16.188091666666665,1749302756,200347285,blue_lagoon_imu
238066340,43.472615,16.216363333333334,1749302757,281531,blue_lagoon_imu
238396340,43.51503,16.231088333333332,1749302759,879682995,blue_lagoon_imu
232016168,43.40863,16.133805,1749302761,431444592,blue_lagoon_imu
238605740,43.474531666666664,16.203398333333332,1749302763,286938178,blue_lagoon_imu
538072144,43.374291666666664,16.184893333333335,1749302766,630391877,blue_lagoon_imu
