sec,nanosec,latitude,longitude,datetime
1749194763,749592758,43.5140402,16.2502964,2025-06-06T07:26:03.749593+00:00
1749194763,999592618,43.5140403,16.2502964,2025-06-06T07:26:03.999593+00:00
1749194764,249592476,43.5140403,16.2502963,2025-06-06T07:26:04.249593+00:00
1749194764,499592335,43.5140403,16.2502963,2025-06-06T07:26:04.499592+00:00
1749194764,749592194,43.5140403,16.2502963,2025-06-06T07:26:04.749592+00:00
1749194764,999592054,43.5140403,16.2502964,2025-06-06T07:26:04.999592+00:00
1749194765,249591911,43.5140404,16.2502964,2025-06-06T07:26:05.249592+00:00
1749194765,499591770,43.5140404,16.2502965,2025-06-06T07:26:05.499592+00:00
1749194765,749591629,43.5140405,16.2502965,2025-06-06T07:26:05.749592+00:00
1749194765,999591489,43.5140406,16.2502965,2025-06-06T07:26:05.999592+00:00
1749194766,249591346,43.5140406,16.2502965,2025-06-06T07:26:06.249591+00:00
1749194766,499591205,43.5140406,16.2502965,2025-06-06T07:26:06.499591+00:00
1749194766,749591064,43.5140406,16.2502965,2025-06-06T07:26:06.749591+00:00
1749194766,999590924,43.5140406,16.2502965,2025-06-06T07:26:06.999591+00:00
1749194767,249590782,43.5140407,16.2502965,2025-06-06T07:26:07.249591+00:00
1749194767,499590641,43.5140407,16.2502965,2025-06-06T07:26:07.499591+00:00
1749194767,749590499,43.5140407,16.2502966,2025-06-06T07:26:07.749590+00:00
1749194767,999590359,43.5140407,16.2502966,2025-06-06T07:26:07.999590+00:00
1749194768,249590217,43.5140407,16.2502966,2025-06-06T07:26:08.249590+00:00
1749194768,499590076,43.5140408,16.2502967,2025-06-06T07:26:08.499590+00:00
1749194768,749589935,43.5140408,16.2502967,2025-06-06T07:26:08.749590+00:00
1749194768,999589794,43.5140407,16.2502966,2025-06-06T07:26:08.999590+00:00
1749194769,249589652,43.5140408,16.2502966,2025-06-06T07:26:09.249590+00:00
1749194769,499589511,43.5140407,16.2502966,2025-06-06T07:26:09.499589+00:00
1749194769,749589370,43.5140408,16.2502967,2025-06-06T07:26:09.749589+00:00
1749194769,999589230,43.5140407,16.2502966,2025-06-06T07:26:09.999589+00:00
1749194770,249589088,43.5140407,16.2502967,2025-06-06T07:26:10.249589+00:00
1749194770,499588946,43.5140408,16.2502967,2025-06-06T07:26:10.499589+00:00
1749194770,749588805,43.5140408,16.2502967,2025-06-06T07:26:10.749589+00:00
1749194770,999588665,43.5140408,16.2502968,2025-06-06T07:26:10.999589+00:00
1749194771,249588523,43.5140408,16.2502967,2025-06-06T07:26:11.249588+00:00
1749194771,499588382,43.5140408,16.2502967,2025-06-06T07:26:11.499588+00:00
1749194771,749588241,43.5140408,16.2502967,2025-06-06T07:26:11.749588+00:00
1749194771,999588101,43.5140408,16.2502967,2025-06-06T07:26:11.999588+00:00
1749194772,249587958,43.5140409,16.2502968,2025-06-06T07:26:12.249588+00:00
1749194772,499587817,43.5140409,16.2502968,2025-06-06T07:26:12.499588+00:00
1749194772,749587676,43.5140409,16.2502968,2025-06-06T07:26:12.749588+00:00
1749194772,999587536,43.5140409,16.2502967,2025-06-06T07:26:12.999588+00:00
1749194773,249587394,43.5140409,16.2502968,2025-06-06T07:26:13.249587+00:00
1749194773,499587253,43.5140409,16.2502967,2025-06-06T07:26:13.499587+00:00
1749194773,749587111,43.5140409,16.2502966,2025-06-06T07:26:13.749587+00:00
1749194773,999586971,43.5140409,16.2502966,2025-06-06T07:26:13.999587+00:00
1749194774,249586829,43.5140410,16.2502967,2025-06-06T07:26:14.249587+00:00
1749194774,499586688,43.5140410,16.2502967,2025-06-06T07:26:14.499587+00:00
1749194774,749586547,43.5140411,16.2502967,2025-06-06T07:26:14.749587+00:00
1749194774,999586407,43.5140411,16.2502967,2025-06-06T07:26:14.999586+00:00
1749194775,249586264,43.5140411,16.2502967,2025-06-06T07:26:15.249586+00:00
1749194775,499586123,43.5140411,16.2502967,2025-06-06T07:26:15.499586+00:00
1749194775,749585982,43.5140412,16.2502966,2025-06-06T07:26:15.749586+00:00
1749194775,999585842,43.5140412,16.2502966,2025-06-06T07:26:15.999586+00:00
1749194776,249585700,43.5140412,16.2502967,2025-06-06T07:26:16.249586+00:00
1749194776,499585559,43.5140412,16.2502966,2025-06-06T07:26:16.499586+00:00
1749194776,749585417,43.5140413,16.2502966,2025-06-06T07:26:16.749585+00:00
1749194776,999585277,43.5140413,16.2502966,2025-06-06T07:26:16.999585+00:00
1749194777,249585135,43.5140413,16.2502967,2025-06-06T07:26:17.249585+00:00
1749194777,499584994,43.5140414,16.2502966,2025-06-06T07:26:17.499585+00:00
1749194777,749584853,43.5140414,16.2502965,2025-06-06T07:26:17.749585+00:00
1749194777,999584713,43.5140415,16.2502965,2025-06-06T07:26:17.999585+00:00
1749194778,249584570,43.5140414,16.2502965,2025-06-06T07:26:18.249585+00:00
1749194778,499584429,43.5140415,16.2502966,2025-06-06T07:26:18.499584+00:00
1749194778,749584288,43.5140416,16.2502967,2025-06-06T07:26:18.749584+00:00
1749194778,999584148,43.5140416,16.2502967,2025-06-06T07:26:18.999584+00:00
1749194779,249584006,43.5140416,16.2502966,2025-06-06T07:26:19.249584+00:00
1749194779,499583864,43.5140417,16.2502966,2025-06-06T07:26:19.499584+00:00
1749194779,749583723,43.5140417,16.2502966,2025-06-06T07:26:19.749584+00:00
1749194779,999583583,43.5140417,16.2502966,2025-06-06T07:26:19.999583+00:00
1749194780,249583441,43.5140418,16.2502966,2025-06-06T07:26:20.249583+00:00
1749194780,499583300,43.5140418,16.2502966,2025-06-06T07:26:20.499583+00:00
1749194780,749583158,43.5140419,16.2502967,2025-06-06T07:26:20.749583+00:00
1749194780,999583018,43.5140419,16.2502968,2025-06-06T07:26:20.999583+00:00
1749194781,249582876,43.5140420,16.2502968,2025-06-06T07:26:21.249583+00:00
1749194781,499582735,43.5140420,16.2502969,2025-06-06T07:26:21.499583+00:00
1749194781,749582594,43.5140420,16.2502969,2025-06-06T07:26:21.749583+00:00
1749194781,999582453,43.5140420,16.2502969,2025-06-06T07:26:21.999583+00:00
